ID_Cliente,Ubicacion,Tipo_Propiedad,Estrato,Consumo_Enero,Consumo_Febrero,Consumo_Marzo,Consumo_Abril,Consumo_Mayo,Consumo_Junio,Pago_Enero,Pago_Febrero,Pago_Marzo,Pago_Abril,Pago_Mayo,Pago_Junio,Facturas_Atrasadas,Inspecciones,Reclamos,Fraude
56,Ciudad C,Residencial,4,612,3290,3048,2608,1945,3960,86,461,427,365,272,554,0,1,1,No
57,Ciudad B,Residencial,1,2380,2228,3969,2168,2175,1440,333,312,556,304,305,202,4,0,1,Si
58,Ciudad A,Comercial,3,899,824,3545,3697,1431,2095,126,115,496,518,200,293,0,0,1,No
59,Ciudad C,Residencial,4,531,3398,3523,3920,2155,1451,74,476,493,549,302,203,0,0,0,No
60,Ciudad B,Residencial,3,3788,3773,2581,1186,1743,3221,530,528,361,166,244,451,2,2,2,No
61,Ciudad A,Residencial,4,1530,2768,1938,667,3089,635,214,388,271,93,432,89,0,0,1,No
62,Ciudad C,Comercial,3,2786,636,1995,2194,1142,785,390,89,279,307,160,110,3,3,2,No
63,Ciudad A,Residencial,2,3494,1901,3914,2466,594,3669,489,266,548,345,83,514,1,0,0,No
64,Ciudad A,Residencial,3,2542,3944,3490,1701,3889,1402,356,552,489,238,544,196,4,1,0,No
65,Ciudad A,Comercial,2,773,3825,2217,1100,1814,2512,108,536,310,154,254,352,3,2,3,Si
66,Ciudad A,Residencial,4,3235,1548,1941,886,3004,3607,453,217,272,124,421,505,1,0,0,No
67,Ciudad B,Comercial,1,3514,2376,2465,736,3207,1339,492,333,345,103,449,187,3,2,3,Si
68,Ciudad A,Residencial,2,3767,2967,633,2458,2898,2295,527,415,89,344,406,321,0,1,1,No
69,Ciudad C,Residencial,3,1007,1907,1603,2416,3984,3077,141,267,224,338,558,431,0,0,1,No
70,Ciudad B,Comercial,1,1578,2108,3797,1556,2225,3048,221,295,532,218,312,427,1,2,0,Si
71,Ciudad A,Residencial,4,1819,3953,780,2674,743,2786,255,553,109,374,104,390,0,1,0,No
72,Ciudad C,Residencial,3,2652,2075,1384,3210,857,1810,371,291,194,449,120,253,4,3,1,No
73,Ciudad B,Residencial,2,500,2457,3368,3842,2389,1092,70,344,472,538,334,153,0,0,0,No
74,Ciudad A,Comercial,1,3676,2483,3567,3078,698,3434,515,348,499,431,98,481,1,3,0,Si
75,Ciudad C,Residencial,2,1270,2629,3384,534,2637,860,178,368,474,75,369,120,0,2,1,Si
76,Ciudad A,Residencial,2,561,2010,3605,2204,3691,3056,79,281,505,309,517,428,0,1,1,No
77,Ciudad A,Comercial,1,1456,1641,584,1870,2358,1617,204,230,82,262,330,226,4,1,2,Si
78,Ciudad A,Residencial,2,1698,519,858,3754,3820,1850,238,73,120,526,535,259,1,1,1,No
79,Ciudad A,Comercial,4,1552,2104,3596,1879,613,518,217,295,503,263,86,73,1,0,0,No
80,Ciudad B,Residencial,3,1981,3034,2946,2599,3976,3876,277,425,412,364,557,543,2,3,3,No
81,Ciudad A,Residencial,3,3504,829,1354,3928,843,3515,491,116,190,550,118,492,0,1,0,No
82,Ciudad C,Comercial,3,2844,1139,742,3827,3190,717,398,159,104,536,447,100,4,2,1,No
83,Ciudad B,Residencial,4,1368,3439,1578,1036,3751,2699,192,481,221,145,525,378,1,1,0,No
84,Ciudad A,Residencial,2,1633,1135,1412,2983,722,3782,229,159,198,418,101,529,3,2,0,Si
85,Ciudad C,Residencial,2,3228,3967,570,2571,1673,1598,452,555,80,360,234,224,2,0,1,Si
86,Ciudad B,Comercial,4,3720,3055,866,1141,1785,1686,521,428,121,160,250,236,0,0,1,No
87,Ciudad A,Residencial,1,3403,1093,1141,2709,637,1843,476,153,160,379,89,258,1,2,3,Si
88,Ciudad C,Residencial,3,1723,1036,1839,2850,3875,3930,241,145,257,399,543,550,1,0,1,No
89,Ciudad A,Comercial,2,509,1941,2940,2886,2434,2735,71,272,412,404,341,383,0,1,1,No
90,Ciudad A,Residencial,2,1232,593,2679,3461,3722,3661,172,83,375,485,521,513,3,0,1,Si
91,Ciudad A,Comercial,2,658,806,2555,1880,2572,781,92,113,358,263,360,109,0,1,0,No
92,Ciudad A,Residencial,2,1229,3301,3044,933,3080,1166,172,462,426,131,431,163,2,1,0,Si
93,Ciudad B,Residencial,4,1815,2334,2452,2612,872,1100,254,327,343,366,122,154,1,0,0,No
94,Ciudad A,Comercial,1,1068,2073,967,511,1316,2317,150,290,135,72,184,324,1,3,2,Si
95,Ciudad C,Residencial,3,2003,3588,906,586,1916,2267,280,502,127,82,268,317,0,1,2,No
96,Ciudad B,Residencial,4,2294,1852,3686,2130,1964,3802,321,259,516,298,275,532,1,0,1,No
97,Ciudad A,Residencial,1,2645,2042,1529,1962,2788,920,370,286,214,275,390,129,2,2,3,Si
98,Ciudad C,Comercial,4,1964,1467,3059,3561,2318,3301,275,205,428,499,325,462,0,1,1,No
99,Ciudad B,Residencial,3,3277,1916,3978,1457,1443,3526,459,268,557,204,202,494,0,0,1,No
100,Ciudad A,Residencial,3,3251,3519,2304,1760,3970,3293,455,493,323,246,556,461,1,2,0,No
101,Ciudad C,Comercial,3,1768,2294,2371,3357,3542,3675,248,321,332,470,496,515,0,1,0,No
102,Ciudad A,Residencial,1,3282,1055,1621,3601,2768,1676,459,148,227,504,388,235,2,3,0,Si
103,Ciudad A,Comercial,3,3962,971,1469,2210,3692,1234,555,136,206,309,517,173,0,0,1,No
104,Ciudad A,Residencial,2,2921,2110,1865,2402,1326,1898,409,295,261,336,186,266,4,1,0,Si
105,Ciudad A,Residencial,1,2316,3358,2664,3408,2820,982,324,470,373,477,395,137,2,3,2,Si
106,Ciudad B,Comercial,4,1253,2346,1933,2958,3234,637,175,328,271,414,453,89,0,1,0,No
107,Ciudad A,Residencial,3,1219,969,3475,1090,1732,867,171,136,487,153,242,121,4,1,1,No
108,Ciudad C,Residencial,3,1357,852,3381,2724,2411,569,190,119,473,381,338,80,1,1,1,No
109,Ciudad B,Residencial,2,1995,850,852,2578,1837,1920,279,119,119,361,257,269,0,0,1,No
110,Ciudad A,Comercial,1,3321,2740,808,1016,1521,3479,465,384,113,142,213,487,4,2,2,Si
111,Ciudad C,Residencial,3,3617,1222,2375,3779,3627,920,506,171,333,529,508,129,1,0,0,No
112,Ciudad B,Residencial,2,3826,683,1349,2123,2001,1334,536,96,189,297,280,187,1,1,1,Si
113,Ciudad A,Comercial,4,3037,1305,1477,1472,1363,2339,425,183,207,206,191,327,1,1,1,No
114,Ciudad C,Residencial,3,2584,1992,923,3222,3212,1214,362,279,129,451,450,170,3,3,1,No
115,Ciudad A,Comercial,2,2964,1169,3083,1253,893,1104,415,164,432,175,125,155,3,3,1,Si
116,Ciudad A,Residencial,2,1322,3583,3315,3046,3921,3452,185,502,464,426,549,483,0,0,0,No
117,Ciudad A,Residencial,2,1794,2533,2012,1558,3496,938,251,355,282,218,489,131,4,0,0,Si
118,Ciudad A,Comercial,3,3787,1565,2152,2471,2573,2320,530,219,301,346,360,325,1,0,1,No
119,Ciudad B,Residencial,4,3178,3228,3929,1507,887,3953,445,452,550,211,124,553,1,1,1,No
120,Ciudad A,Residencial,1,1021,774,2818,3349,2184,1894,143,108,395,469,306,265,0,2,0,Si
121,Ciudad C,Residencial,4,3211,1002,935,629,2987,3818,450,140,131,88,418,535,0,0,1,No
122,Ciudad B,Comercial,3,2581,1850,3605,2222,2306,596,361,259,505,311,323,83,1,2,1,No
123,Ciudad A,Residencial,3,2590,3569,2570,2611,2110,2728,363,500,360,366,295,382,0,1,0,No
124,Ciudad C,Residencial,3,1061,1680,1765,2310,852,935,149,235,247,323,119,131,4,0,0,No
125,Ciudad B,Comercial,2,3453,2552,1004,1823,1292,3554,483,357,141,255,181,498,4,3,0,Si
126,Ciudad A,Residencial,3,538,1628,770,2050,2999,1069,75,228,108,287,420,150,1,0,1,No
127,Ciudad C,Comercial,2,764,2508,1400,3614,3132,1156,107,351,196,506,438,162,4,0,2,Si
128,Ciudad A,Residencial,3,2392,2817,2795,1276,3584,2466,335,394,391,179,502,345,0,1,1,No
129,Ciudad A,Residencial,2,1561,2506,2226,1960,3896,936,219,351,312,274,545,131,0,0,0,No
130,Ciudad A,Comercial,1,987,1283,3949,3180,678,2108,138,180,553,445,95,295,2,0,2,Si
131,Ciudad A,Residencial,4,1167,3899,2938,2835,1556,600,163,546,411,397,218,84,0,0,0,No
132,Ciudad B,Residencial,3,891,2285,2064,3231,797,1732,125,320,289,452,112,242,4,2,0,No
133,Ciudad A,Residencial,4,3852,566,1470,2612,2435,1026,539,79,206,366,341,144,1,1,0,No
134,Ciudad C,Comercial,3,2731,3224,553,2551,562,3139,382,451,77,357,79,439,4,3,0,No
135,Ciudad B,Residencial,2,2580,3478,1322,1380,2371,2326,361,487,185,193,332,326,1,0,3,Si
136,Ciudad A,Residencial,2,2989,3138,528,2592,790,1731,418,439,74,363,111,242,1,0,0,No
137,Ciudad C,Comercial,3,3026,3401,660,2255,3915,3420,424,476,92,316,548,479,0,3,2,No
138,Ciudad B,Residencial,4,3246,2762,2442,2820,1794,3326,454,387,342,395,251,466,1,0,1,No
139,Ciudad A,Comercial,4,517,1033,2535,1043,2158,1772,72,145,355,146,302,248,1,0,1,No
140,Ciudad C,Residencial,2,1521,3032,602,1690,3645,1777,213,424,84,237,510,249,3,0,0,Si
141,Ciudad A,Residencial,2,2433,2290,3649,719,700,3467,341,321,511,101,98,485,0,1,1,No
142,Ciudad A,Comercial,3,581,866,2293,506,3141,2284,81,121,321,71,440,320,2,3,2,No
143,Ciudad A,Residencial,3,3501,722,687,1306,1280,1994,490,101,96,183,179,279,0,0,1,No
144,Ciudad A,Residencial,1,2852,2342,3478,1931,3036,1038,399,328,487,270,425,145,0,3,1,Si
145,Ciudad B,Residencial,2,1860,2353,1450,3992,2728,2490,260,329,203,559,382,349,3,3,1,Si
146,Ciudad A,Comercial,4,3107,3119,1404,1607,599,3685,435,437,197,225,84,516,0,1,1,No
147,Ciudad C,Residencial,1,3921,1146,1072,3961,1091,1993,549,160,150,555,153,279,3,2,0,Si
148,Ciudad B,Residencial,3,588,579,3447,3698,767,1983,82,81,483,518,107,278,1,0,1,No
149,Ciudad A,Comercial,2,1948,2014,2234,2089,1911,1983,273,282,313,292,268,278,0,1,1,No
150,Ciudad C,Residencial,1,3027,2106,2576,593,1390,3223,424,295,361,83,195,451,0,0,3,Si
151,Ciudad B,Comercial,3,917,792,1250,1689,640,3651,128,111,175,236,90,511,1,0,0,No
152,Ciudad A,Residencial,2,2665,3106,2861,3666,1107,761,373,435,401,513,155,107,4,0,2,Si
153,Ciudad C,Residencial,3,2490,3946,3796,2834,3889,3720,349,552,531,397,544,521,1,0,0,No
154,Ciudad A,Comercial,3,3454,797,1953,3056,2422,1630,484,112,273,428,339,228,2,1,0,No
155,Ciudad A,Residencial,2,815,2819,1474,1693,3676,1154,114,395,206,237,515,162,3,3,3,Si
156,Ciudad A,Residencial,2,1441,3693,3366,927,682,1700,202,517,471,130,95,238,0,1,1,No
157,Ciudad A,Residencial,1,514,764,2766,1204,1793,1858,72,107,387,169,251,260,3,3,2,Si
158,Ciudad B,Comercial,2,2142,3591,3063,3299,2966,3020,300,503,429,462,415,423,1,1,0,No
159,Ciudad A,Residencial,3,3177,1850,790,3787,2827,2643,445,259,111,530,396,370,1,1,0,No
160,Ciudad C,Residencial,2,714,2945,1914,2969,2068,3014,100,412,268,416,290,422,4,0,3,Si
161,Ciudad B,Comercial,4,745,3299,1229,1859,2717,3854,104,462,172,260,380,540,0,1,1,No
162,Ciudad A,Residencial,2,1689,786,2467,2289,3513,1338,236,110,345,320,492,187,2,3,0,Si
163,Ciudad C,Comercial,4,1942,2716,1171,674,3711,3258,272,380,164,94,520,456,0,1,0,No
164,Ciudad B,Residencial,3,838,3374,1420,2543,3148,1995,117,472,199,356,441,279,0,0,3,No
165,Ciudad A,Residencial,1,3441,3047,3122,2503,2540,2182,482,427,437,350,356,305,4,0,0,Si
166,Ciudad C,Comercial,4,2653,1227,1026,1722,1674,1697,371,172,144,241,234,238,0,0,1,No
167,Ciudad A,Residencial,3,761,1705,1625,875,2135,3779,107,239,228,123,299,529,2,2,1,No
168,Ciudad A,Residencial,4,679,3178,2131,1637,2635,2379,95,445,298,229,369,333,0,0,1,No
169,Ciudad A,Residencial,2,2803,1636,3571,2619,2326,1838,392,229,500,367,326,257,1,1,0,No
170,Ciudad A,Comercial,3,626,3510,1086,2457,3336,1375,88,491,152,344,467,193,2,1,2,No
171,Ciudad B,Residencial,3,3443,708,3172,1190,2119,1507,482,99,444,167,297,211,1,0,1,No
172,Ciudad A,Residencial,1,3992,3159,2348,1139,3281,2654,559,442,329,159,459,372,0,2,1,Si
173,Ciudad C,Comercial,2,3405,568,791,2977,3871,3917,477,80,111,417,542,548,1,0,1,No
174,Ciudad B,Residencial,3,1569,3155,2536,3461,841,1916,220,442,355,485,118,268,4,0,1,No
175,Ciudad A,Comercial,3,1266,3095,2594,3072,1956,667,177,433,363,430,274,93,0,1,2,No
176,Ciudad C,Residencial,2,2065,1298,500,1334,2741,1878,289,182,70,187,384,263,1,1,0,No
177,Ciudad B,Residencial,3,648,834,2073,551,3420,1392,91,117,290,77,479,195,1,2,3,No
178,Ciudad A,Comercial,2,3762,1073,1854,2922,724,1265,527,150,260,409,101,177,1,0,1,No
179,Ciudad C,Residencial,3,3957,2579,2535,3777,727,2070,554,361,355,529,102,290,0,1,0,No
180,Ciudad A,Residencial,2,911,3425,555,1712,885,2962,128,480,78,240,124,415,2,2,2,Si
181,Ciudad A,Residencial,3,1896,2747,2556,1907,2749,2552,265,385,358,267,385,357,0,0,0,No
182,Ciudad A,Comercial,3,2671,2564,2592,1862,590,2276,374,359,363,261,83,319,1,1,2,No
183,Ciudad A,Residencial,3,3721,844,609,2744,2930,2560,521,118,85,384,410,358,1,1,1,No
184,Ciudad B,Residencial,3,3705,727,1290,671,2552,2514,519,102,181,94,357,352,0,3,0,No
185,Ciudad A,Comercial,2,2686,1106,3586,1600,2757,1595,376,155,502,224,386,223,1,2,1,Si
186,Ciudad C,Residencial,2,3852,3508,820,2927,3445,1175,539,491,115,410,482,165,0,1,0,No
187,Ciudad B,Comercial,2,888,1562,2177,3357,703,807,124,219,305,470,98,113,2,3,2,Si
188,Ciudad A,Residencial,2,2081,2437,1129,1842,3106,3666,291,341,158,258,435,513,0,0,0,No
189,Ciudad C,Residencial,4,3725,2444,1962,3879,3578,3501,522,342,275,543,501,490,1,1,0,No
190,Ciudad B,Comercial,2,3899,2273,3596,1864,1166,1032,546,318,503,261,163,144,0,2,2,Si
191,Ciudad A,Residencial,4,3678,2166,3040,570,1084,2931,515,303,426,80,152,410,0,1,0,No
192,Ciudad C,Residencial,3,3173,2800,2625,846,1592,2770,444,392,368,118,223,388,0,0,3,No
193,Ciudad A,Residencial,4,3548,3601,2936,3286,1080,2891,497,504,411,460,151,405,1,0,1,No
194,Ciudad A,Comercial,1,2271,746,1746,3431,3511,3008,318,104,244,480,492,421,4,0,2,Si
195,Ciudad A,Residencial,2,2032,1220,3099,3851,2300,1248,284,171,434,539,322,175,1,3,1,Si
196,Ciudad A,Residencial,2,3905,2782,984,770,2291,789,547,389,138,108,321,110,1,0,1,No
197,Ciudad B,Comercial,3,1188,1182,1149,3536,3830,3133,166,165,161,495,536,439,1,3,2,No
198,Ciudad A,Residencial,3,1706,1114,2527,3695,565,3238,239,156,354,517,79,453,0,1,1,No
199,Ciudad C,Comercial,4,3480,2187,3128,3289,2555,1627,487,306,438,460,358,228,0,1,1,No
200,Ciudad B,Residencial,2,2692,3130,3297,2227,1327,2725,377,438,462,312,186,382,3,1,2,Si
201,Ciudad A,Residencial,2,3578,1525,903,3566,3738,3649,501,214,126,499,523,511,0,1,1,No
202,Ciudad C,Comercial,3,3948,1725,3615,2370,2467,1033,553,242,506,332,345,145,4,3,0,No
203,Ciudad B,Residencial,4,3195,1824,1521,2542,2277,3395,447,255,213,356,319,475,1,0,1,No
204,Ciudad A,Residencial,3,1197,3717,3722,1894,896,1897,168,520,521,265,125,266,3,2,1,No
205,Ciudad C,Residencial,3,2615,1118,3016,1058,3413,1497,366,157,422,148,478,210,1,0,1,No
206,Ciudad A,Comercial,4,1399,612,3689,1747,3658,1017,196,86,516,245,512,142,1,1,0,No
207,Ciudad A,Residencial,3,2946,3669,1839,583,2243,2203,412,514,257,82,314,308,3,3,1,No
208,Ciudad A,Residencial,3,572,1238,3389,1325,1176,523,80,173,474,186,165,73,0,1,0,No
209,Ciudad A,Comercial,3,3400,1677,3228,872,3627,2045,476,235,452,122,508,286,1,0,1,No
210,Ciudad B,Residencial,3,2789,3204,2525,1297,2183,666,390,449,354,182,306,93,0,1,3,No
211,Ciudad A,Comercial,2,1694,2256,616,1717,3710,1429,237,316,86,240,519,200,1,1,,No
212,Ciudad C,Residencial,3,3415,2611,2259,3410,2240,2024,478,366,316,477,314,283,0,1,,No
213,Ciudad B,Residencial,3,3040,1046,3491,1140,1288,779,426,146,489,160,180,109,1,1,,No
214,Ciudad A,Comercial,3,3525,2229,2754,3493,1585,3271,494,312,386,489,222,458,2,2,,No
215,Ciudad C,Residencial,2,819,2836,1223,1748,3126,3415,115,397,171,245,438,478,3,0,,Si
216,Ciudad B,Residencial,3,3321,1489,2332,602,2262,1569,465,208,326,84,317,220,1,1,,No
217,Ciudad A,Residencial,1,1388,3757,1231,2212,2331,3685,194,526,172,310,326,516,0,3,,Si
218,Ciudad C,Comercial,3,1048,1060,3685,2480,3533,3496,147,148,516,347,495,489,1,0,,No
219,Ciudad A,Residencial,3,550,1423,1669,597,2946,3958,77,199,234,84,412,554,1,0,,No
220,Ciudad A,Residencial,2,3720,2925,1991,1818,871,1826,521,410,279,255,122,256,0,3,,Si
221,Ciudad A,Comercial,3,3864,1447,1358,2934,3226,3647,541,203,190,411,452,511,0,1,,No
222,Ciudad A,Residencial,3,3757,3173,3938,1864,2839,1705,526,444,551,261,397,239,2,1,,No
223,Ciudad B,Comercial,4,647,2276,2435,3454,1841,2005,91,319,341,484,258,281,1,0,,No
224,Ciudad A,Residencial,1,1376,1626,1694,1468,3978,3926,193,228,237,206,557,550,4,0,,Si
225,Ciudad C,Residencial,3,1523,866,2607,1679,3565,3887,213,121,365,235,499,544,4,0,,No
226,Ciudad B,Comercial,3,3630,2045,2710,3159,2981,2071,508,286,379,442,417,290,0,1,,No
227,Ciudad A,Residencial,1,3925,3216,3824,3393,3004,745,550,450,535,475,421,104,0,2,,Si
228,Ciudad C,Residencial,3,2331,2558,2013,3873,1058,2088,326,358,282,542,148,292,1,0,,No
229,Ciudad B,Residencial,3,1558,3640,3402,2977,3197,1846,218,510,476,417,448,258,0,0,,No
230,Ciudad A,Comercial,3,2209,2926,2767,737,1949,2037,309,410,387,103,273,285,1,0,3,No
231,Ciudad C,Residencial,3,612,961,2081,1780,1870,3461,86,135,291,249,262,485,0,0,0,No
232,Ciudad A,Residencial,1,3277,2013,562,2355,2257,3574,459,282,79,330,316,500,2,1,3,Si
233,Ciudad A,Comercial,4,1033,1504,2849,594,1596,2694,145,211,399,83,223,377,1,1,0,No
234,Ciudad A,Residencial,3,3819,2898,2857,522,1384,3869,535,406,400,73,194,542,2,0,3,No
235,Ciudad A,Comercial,3,3028,2808,2829,1416,1722,542,424,393,396,198,241,76,0,3,2,No
236,Ciudad B,Residencial,2,781,1162,1524,2213,518,2339,109,163,213,310,73,327,1,,1,No
237,Ciudad A,Residencial,3,3448,1067,925,2791,2032,827,483,149,130,391,284,116,2,,0,No
238,Ciudad C,Comercial,3,2737,3602,2084,3392,3031,3440,383,504,292,475,424,482,0,,1,No
239,Ciudad B,Residencial,3,3933,560,1791,3511,2137,3502,551,78,251,492,299,490,0,,0,No
240,Ciudad A,Residencial,3,3870,2646,1339,3095,3100,3538,542,370,187,433,434,495,2,,2,No
241,Ciudad C,Residencial,4,1986,3141,2343,2386,1724,1175,278,440,328,334,241,165,1,,1,No
242,Ciudad B,Comercial,1,3291,2254,1713,3127,820,3950,461,316,240,438,115,553,4,,2,Si
243,Ciudad A,Residencial,3,3370,3136,2881,3470,2035,2958,472,439,403,486,285,414,0,,1,No
244,Ciudad C,Residencial,1,1090,539,3002,1996,1118,3407,153,75,420,279,157,477,2,,3,Si
245,Ciudad A,Comercial,1,575,2393,2543,3091,580,1175,81,335,356,433,81,165,1,,3,Si
246,Ciudad A,Residencial,4,1229,904,2795,1923,2834,1713,172,127,391,269,397,240,0,,1,No
247,Ciudad A,Comercial,3,2556,3235,3768,3882,2774,2324,358,453,528,543,388,325,0,,1,No
248,Ciudad A,Residencial,2,1765,2311,1194,2371,2557,1690,247,324,167,332,358,237,0,,1,No
249,Ciudad B,Residencial,3,3411,2367,3792,2254,2132,1410,478,331,531,316,298,197,0,,0,No
250,Ciudad A,Comercial,2,3399,3014,3617,3280,3220,1416,476,422,506,459,451,198,3,,3,Si
251,Ciudad C,Residencial,4,927,763,640,1737,3454,2307,130,107,90,243,484,323,0,,1,No
252,Ciudad B,Residencial,2,1882,3404,1307,599,3709,3426,263,477,183,84,519,480,1,,3,Si
253,Ciudad A,Residencial,2,1508,880,2155,2112,2300,624,211,123,302,296,322,87,0,,1,No
254,Ciudad C,Comercial,2,3276,656,2574,2678,1491,2837,459,92,360,375,209,397,3,,2,Si
255,Ciudad B,Residencial,1,788,2985,1343,1930,1532,1539,110,418,188,270,214,215,2,,1,Si
256,Ciudad A,Residencial,3,2457,522,1236,3380,1954,1821,344,73,173,473,274,255,1,,1,No
257,Ciudad C,Comercial,2,606,2523,2997,2424,1623,1476,85,353,420,339,227,207,2,,2,Si
