Ubicacion,Tipo_Propiedad,Consumo_Enero,Consumo_Febrero,Consumo_Marzo,Consumo_Abril,Consumo_Mayo,Consumo_Junio,Pago_Enero,Pago_Febrero,Pago_Marzo,Pago_Abril,Pago_Mayo,Pago_Junio,Facturas_Atrasadas,Inspecciones,Reclamos
3,1,5244,507,4942,5068,3914,4557,734,71,692,710,548,638,1,2,1
2,1,1859,5487,2854,658,1410,3826,260,768,400,92,197,536,1,3,4
3,0,1059,1317,4328,769,708,1252,148,184,606,108,99,175,3,4,4
2,0,4885,3675,4494,1036,4848,1868,684,515,629,145,679,262,4,1,1
3,1,2814,2358,2635,1292,1431,4386,394,330,369,181,200,614,4,0,2
0,0,748,4149,755,4508,1268,5353,105,581,106,631,178,749,3,3,4
3,0,779,5241,3096,3226,3400,1554,109,734,433,452,476,218,2,2,1
1,0,4961,3308,3164,5208,624,787,695,463,443,729,87,110,1,4,1
1,1,2841,3443,4427,3509,2562,841,398,482,620,491,359,118,3,0,2
2,0,1697,3178,702,949,4835,4920,238,445,98,133,677,689,2,1,1
1,0,4068,2423,3654,3125,4023,2345,570,339,512,438,563,328,3,2,2
2,0,1456,766,4638,3536,5243,1716,204,107,649,495,734,240,0,0,1
3,1,3843,2757,4099,744,2627,5455,538,386,574,104,368,764,2,3,1
3,1,1584,2184,1938,1177,3092,1234,222,306,271,165,433,173,1,2,1
2,1,5333,5081,5185,3951,765,516,747,711,726,553,107,72,2,0,4
1,1,2046,905,3328,682,737,5166,286,127,466,95,103,723,2,0,1
1,0,1435,1062,3794,1966,3753,4599,201,149,531,275,525,644,3,2,1
1,1,3148,1993,2609,4396,4105,961,441,279,365,615,575,135,1,0,1
0,1,1804,2854,2443,1749,3922,3507,253,400,342,245,549,491,0,3,1
3,0,4901,3143,3341,1934,3396,4708,686,440,468,271,475,659,0,1,1
2,1,3003,4473,3380,947,1833,990,420,626,473,133,257,139,2,2,3
3,0,2899,3701,1585,5337,2860,2543,406,518,222,747,400,356,0,2,3
1,1,1048,1674,4256,3890,1687,4001,147,234,596,545,236,560,2,3,3
2,1,3235,3076,4534,3554,3024,4617,453,431,635,498,423,646,3,1,3
0,1,601,2712,4074,1452,733,588,84,380,570,203,103,82,0,0,3
1,0,1060,2104,3613,1053,4129,1343,148,295,506,147,578,188,4,3,3
1,1,3629,2901,2894,1494,3067,4994,508,406,405,209,429,699,1,3,2
3,1,1095,5300,4780,3878,1225,3037,153,742,669,543,172,425,3,2,1
0,1,2389,4235,886,2146,4264,772,334,593,124,300,597,108,3,4,1
2,1,3998,4678,1834,2044,4664,3853,560,655,257,286,653,539,0,4,2
3,0,4052,817,2715,5041,4592,5263,567,114,380,706,643,737,4,2,0
0,1,2481,3048,5402,4752,3683,2162,347,427,756,665,516,303,3,2,1
3,0,2145,4867,1612,2796,3642,4924,300,681,226,391,510,689,3,0,2
1,1,2046,1520,3550,2795,521,4384,286,213,497,391,73,614,2,2,0
2,0,2165,784,787,2818,5063,1145,303,110,110,395,709,160,0,0,2
2,1,1156,4517,3460,5126,2958,979,162,632,484,718,414,137,3,4,0
1,1,3587,3537,2430,5387,1971,3536,502,495,340,754,276,495,1,0,3
2,1,1101,1429,3247,1123,947,4947,154,200,455,157,133,693,2,3,1
1,0,2823,2419,668,590,3649,1363,395,339,94,83,511,191,1,2,4
3,1,4113,4774,3616,4807,4659,901,576,668,506,673,652,126,4,3,3
0,0,2887,4755,926,1115,1453,4076,404,666,130,156,203,571,2,2,1
1,1,1612,4493,1650,4173,2007,3997,226,629,231,584,281,560,4,2,4
3,0,3630,3583,3297,4118,670,2121,508,502,462,577,94,297,1,2,1
0,1,2544,3913,3390,3068,5140,2597,356,548,475,430,720,364,0,4,4
1,0,3127,808,711,2531,3073,1707,438,113,100,354,430,239,4,2,2
2,1,5217,2409,2866,2134,2536,3959,730,337,401,299,355,554,0,1,4
3,1,4623,2733,5475,1511,3773,3196,647,383,767,212,528,447,4,1,3
2,1,3801,3370,3598,649,4001,3420,532,472,504,91,560,479,1,2,3
1,1,1304,2624,5303,2183,2746,4288,183,367,742,306,384,600,4,1,3
3,1,5207,4578,5236,1178,4617,976,729,641,733,165,646,137,4,3,2
0,0,1724,745,4252,712,1620,4286,241,104,595,100,227,600,0,0,1
1,0,993,3490,2639,3811,5238,4723,139,489,369,534,733,661,3,1,2
3,1,4267,978,1564,3459,2601,5082,597,137,219,484,364,711,4,0,1
0,0,559,2396,4456,2841,2316,1893,78,335,624,398,324,265,0,2,0
2,1,632,3490,1352,4153,3961,1294,88,489,189,581,555,181,4,1,1
1,1,4219,2612,1321,3711,4415,4900,591,366,185,520,618,686,4,4,0
0,0,2112,2039,2067,771,5471,4229,296,285,289,108,766,592,3,4,0
0,0,5353,3978,4091,748,2632,4828,749,557,573,105,368,676,0,0,0
1,0,2518,795,3112,3892,1458,3355,353,111,436,545,204,470,0,1,0
1,1,3297,2964,3739,4945,1690,2346,462,415,523,692,237,328,2,0,4
3,0,1050,3060,5480,3090,2044,3562,147,428,767,433,286,499,2,1,4
2,1,945,3290,3896,1276,592,2029,132,461,545,179,83,284,3,0,3
2,0,4241,4156,3782,1971,2159,4798,594,582,529,276,302,672,3,0,4
2,1,5166,1303,3102,3909,782,1726,723,182,434,547,109,242,1,1,0
0,1,1910,3693,3198,1704,1047,585,267,517,448,239,147,82,3,0,0
1,0,2960,2788,2101,1020,1381,4166,414,390,294,143,193,583,2,0,1
3,1,4950,1392,5370,3023,3000,4074,693,195,752,423,420,570,1,3,4
3,1,2717,3291,2715,2118,5342,4834,380,461,380,297,748,677,1,1,2
1,1,4063,1117,2029,3412,2633,2444,569,156,284,478,369,342,3,4,1
1,0,1899,991,1093,5222,5443,4675,266,139,153,731,762,655,4,4,2
2,1,3343,3484,3592,737,4015,2310,468,488,503,103,562,323,4,4,3
3,1,582,4026,4764,3965,1336,2539,81,564,667,555,187,355,4,4,1
0,0,3969,3007,3561,4797,2795,2592,556,421,499,672,391,363,4,4,1
2,1,2089,3608,4500,3555,3606,4102,292,505,630,498,505,574,3,3,2
2,0,656,3795,1873,4096,3386,3957,92,531,262,573,474,554,0,3,3
3,1,2160,5482,2715,1147,2323,2474,302,767,380,161,325,346,4,2,1
3,0,5201,2703,1033,5179,2543,2977,728,378,145,725,356,417,0,1,2
0,0,3511,5223,3034,5421,1188,856,492,731,425,759,166,120,3,0,1
3,1,4092,3241,4800,1147,2121,2215,573,454,672,161,297,310,1,4,0
1,0,2739,5264,1235,3145,1352,2331,383,737,173,440,189,326,1,0,3
2,1,690,1566,3876,2083,5088,1022,97,219,543,292,712,143,2,0,1
2,1,1759,4834,4000,2576,1653,556,246,677,560,361,231,78,2,2,4
2,1,4289,3973,3903,3006,4167,5220,600,556,546,421,583,731,0,3,2
2,1,4477,3544,1674,2127,2075,833,627,496,234,298,291,117,2,3,1
3,1,3962,3828,2519,1416,1906,2241,555,536,353,198,267,314,4,2,4
1,1,510,932,3950,1597,5353,4019,71,130,553,224,749,563,1,1,4
2,1,2993,5064,3348,4030,3393,877,419,709,469,564,475,123,3,4,0
2,0,3610,2254,3769,5357,959,4658,505,316,528,750,134,652,4,4,1
2,1,1452,5206,4948,3810,3683,3365,203,729,693,533,516,471,0,1,1
0,0,2131,1580,1640,1770,2011,1766,298,221,230,248,282,247,2,0,3
3,0,5148,2545,1795,3215,1527,4551,721,356,251,450,214,637,1,4,4
1,0,4511,2645,2012,2957,4481,4714,632,370,282,414,627,660,0,2,4
3,1,881,2753,3580,2494,4532,3195,123,385,501,349,634,447,4,2,1
3,1,1416,3941,3694,3268,629,5079,198,552,517,458,88,711,4,0,2
2,0,1200,2356,932,3946,1805,2707,168,330,130,552,253,379,0,1,1
1,0,2288,3310,714,3131,4783,3735,320,463,100,438,670,523,0,1,3
0,1,1897,3814,3936,1714,1035,2561,266,534,551,240,145,359,3,4,2
3,0,3141,5460,2029,1103,2010,2112,440,764,284,154,281,296,0,0,3
1,1,1515,3196,863,3597,4586,563,212,447,121,504,642,79,0,2,0
1,1,4179,4415,2988,4420,1155,5452,585,618,418,619,162,763,4,2,1
0,0,1812,1720,4992,2322,4214,3348,254,241,699,325,590,469,1,3,4
3,0,3356,1113,1165,1171,2080,2710,470,156,163,164,291,379,3,0,0
2,0,4818,865,3828,3681,2807,3409,675,121,536,515,393,477,3,0,3
2,1,736,3931,4883,5341,3136,4680,103,550,684,748,439,655,0,4,4
0,0,3520,2561,1323,2150,4916,1766,493,359,185,301,688,247,3,2,4
3,0,1600,784,4365,2339,1798,791,224,110,611,327,252,111,0,1,2
1,0,5017,5334,747,3048,1762,3840,702,747,105,427,247,538,2,2,2
1,0,4314,4447,3129,1595,2652,4040,604,623,438,223,371,566,2,2,2
0,1,1731,3858,4159,2103,2059,3207,242,540,582,294,288,449,0,3,4
0,1,1371,2248,3526,5427,3290,692,192,315,494,760,461,97,0,3,3
1,1,3625,1430,1387,4142,2770,4736,508,200,194,580,388,663,4,1,4
1,0,4998,3481,678,1236,3311,1517,700,487,95,173,464,212,3,2,2
3,0,5049,2242,3504,3489,1659,601,707,314,491,488,232,84,4,2,3
3,1,2094,4850,2865,1721,1845,3098,293,679,401,241,258,434,3,0,0
2,0,3482,1309,4535,720,4268,4264,487,183,635,101,598,597,0,1,4
2,0,5476,5353,3958,5021,2463,4121,767,749,554,703,345,577,4,2,1
0,0,3570,4852,2471,4827,2174,4271,500,679,346,676,304,598,2,1,2
2,0,4226,3998,1495,3879,2346,512,592,560,209,543,328,72,4,0,2
1,1,2797,5053,5078,2997,3127,783,392,707,711,420,438,110,0,3,1
3,1,5006,3311,4187,4700,1880,5181,701,464,586,658,263,725,1,4,1
2,1,613,1785,2140,4430,3282,3963,86,250,300,620,459,555,2,1,1
0,1,2291,2805,2933,1670,926,1424,321,393,411,234,130,199,4,4,3
1,1,3735,4914,1758,1822,641,4909,523,688,246,255,90,687,0,1,2
0,0,3255,5402,1174,3570,2222,949,456,756,164,500,311,133,1,3,2
2,1,2320,759,806,2777,1967,4982,325,106,113,389,275,697,2,4,1
3,0,654,3970,3386,2669,1045,5420,92,556,474,374,146,759,3,4,4
1,0,566,987,4429,5433,2831,1681,79,138,620,761,396,235,3,2,3
3,0,503,2462,1972,3132,1142,1329,70,345,276,438,160,186,3,4,1
2,1,4933,2595,2914,4208,1052,1930,691,363,408,589,147,270,4,4,3
1,1,4683,4982,1864,1994,2141,5043,656,697,261,279,300,706,4,4,3
2,1,2384,790,2742,1868,3968,4099,334,111,384,262,556,574,2,1,1
2,1,2814,3958,4236,1680,897,4121,394,554,593,235,126,577,0,0,3
1,1,4642,4590,4194,4146,5176,3453,650,643,587,580,725,483,0,4,2
3,1,5085,2488,3431,2567,2856,4498,712,348,480,359,400,630,3,1,1
0,0,3456,3686,4713,1473,1364,1212,484,516,660,206,191,170,3,3,3
2,0,4718,533,4843,1725,4332,703,661,75,678,242,606,98,0,1,0
0,1,4387,614,1922,3786,2025,4413,614,86,269,530,284,618,3,2,0
2,1,717,5154,2699,4743,2773,4521,100,722,378,664,388,633,1,4,3
2,1,1587,4697,3263,1564,3380,4610,222,658,457,219,473,645,1,1,0
0,0,2165,4664,3087,2986,3901,5414,303,653,432,418,546,758,4,1,0
0,1,3303,1400,1562,3769,3978,4563,462,196,219,528,557,639,4,4,0
3,1,2969,1270,3587,3119,4011,3871,416,178,502,437,562,542,2,0,2
1,1,5421,3963,1735,4390,1826,3900,759,555,243,615,256,546,2,3,3
3,1,3681,5028,2400,2129,1334,4462,515,704,336,298,187,625,1,3,4
2,1,3398,3506,4343,4726,2238,3262,476,491,608,662,313,457,4,1,2
1,1,5376,3888,4527,4754,1972,5378,753,544,634,666,276,753,4,0,3
1,0,1200,2313,2041,1979,1302,3615,168,324,286,277,182,506,1,3,3
0,0,4585,1241,1038,1421,3201,5276,642,174,145,199,448,739,3,3,4
1,0,2674,1644,3819,1160,4122,1515,374,230,535,162,577,212,0,1,2
3,0,1120,3163,2282,2865,5103,1796,157,443,319,401,714,251,4,3,4
2,0,4443,812,4547,5225,3409,4116,622,114,637,732,477,576,2,1,3
0,0,4295,2353,5131,4213,2147,1520,601,329,718,590,301,213,1,0,0
0,1,1629,1752,2111,5017,4982,2817,228,245,296,702,697,394,1,4,3
3,1,802,2942,2878,1200,2900,5018,112,412,403,168,406,703,1,0,3
1,0,637,2808,2203,996,2036,3053,89,393,308,139,285,427,1,0,0
2,1,3427,4752,1323,2305,4826,3455,480,665,185,323,676,484,2,1,3
3,0,3149,3508,3923,924,2959,1683,441,491,549,129,414,236,1,3,1
2,0,3195,1635,1942,944,654,2746,447,229,272,132,92,384,4,3,1
2,0,4641,2616,5027,4850,4944,5325,650,366,704,679,692,746,4,4,2
1,0,1321,532,948,884,1902,3698,185,74,133,124,266,518,4,2,4
3,0,556,614,4616,2557,1968,2549,78,86,646,358,276,357,3,4,4
1,0,3368,1072,3473,2162,4809,3330,472,150,486,303,673,466,4,0,2
1,0,992,4097,576,2698,1311,503,139,574,81,378,184,70,0,0,4
3,0,1692,4159,1746,1690,2602,3482,237,582,244,237,364,487,3,4,2
2,1,5028,2305,2259,1370,3618,3426,704,323,316,192,507,480,2,0,1
2,0,2812,2739,5187,2454,990,1786,394,383,726,344,139,250,4,1,2
1,0,4337,1201,2562,1936,4076,5213,607,168,359,271,571,730,1,0,3
3,1,1562,2789,4534,2696,4200,5070,219,390,635,377,588,710,3,4,1
3,1,5261,5496,5003,4655,4478,1966,737,769,700,652,627,275,3,3,1
0,1,680,1089,5118,774,896,2338,95,152,717,108,125,327,1,2,3
3,1,5161,3589,4622,5021,4411,4002,723,502,647,703,618,560,2,3,2
0,0,1790,3480,3860,1146,4752,1625,251,487,540,160,665,228,3,4,4
1,1,1284,4563,5281,2756,3260,2987,180,639,739,386,456,418,0,4,0
0,1,3650,3959,4816,1712,1142,4253,511,554,674,240,160,595,1,2,4
3,1,3019,1976,2864,1683,5136,4270,423,277,401,236,719,598,0,1,3
1,0,4195,1950,3638,4277,4296,2942,587,273,509,599,601,412,1,2,1
0,0,1312,3292,3759,1712,4836,2852,184,461,526,240,677,399,0,1,1
3,1,5251,4285,2611,3563,3643,3211,735,600,366,499,510,450,2,3,2
0,0,3429,1099,885,2853,5297,4546,480,154,124,399,742,636,1,4,1
1,1,1317,2951,3157,3435,1316,3329,184,413,442,481,184,466,4,2,4
2,1,1117,2661,1188,2530,3280,1308,156,373,166,354,459,183,0,0,3
2,0,1993,1964,3201,711,5454,3017,279,275,448,100,764,422,2,1,3
3,0,4691,3301,2835,546,2854,1985,657,462,397,76,400,278,1,3,2
0,1,1118,3319,3195,2524,3260,3482,157,465,447,353,456,487,3,0,1
3,0,4844,5060,1914,2832,2893,4612,678,708,268,396,405,646,3,3,0
0,1,5405,2940,5494,4103,508,1405,757,412,769,574,71,197,4,1,1
2,0,1809,5435,4891,3555,4361,4718,253,761,685,498,611,661,2,4,2
0,0,5181,2548,3754,1481,4045,4475,725,357,526,207,566,627,4,3,1
1,1,1334,1307,5327,3826,4469,2114,187,183,746,536,626,296,3,3,2
0,1,4637,1170,1891,4415,2047,1387,649,164,265,618,287,194,4,0,4
3,1,867,4536,3963,1519,853,2788,121,635,555,213,119,390,1,0,2
3,1,5441,4139,3204,2696,1033,4893,762,579,449,377,145,685,2,1,0
2,1,3323,1325,2682,1939,2926,4502,465,186,375,271,410,630,2,3,1
0,0,4192,3754,1132,4631,2428,2667,587,526,158,648,340,373,0,2,3
1,1,2119,3981,5181,4842,2539,1904,297,557,725,678,355,267,3,3,3
2,0,5334,616,2164,3802,3905,4001,747,86,303,532,547,560,2,4,4
2,1,610,3504,3053,1693,4826,4319,85,491,427,237,676,605,3,0,3
2,0,902,3572,4370,3157,2339,1852,126,500,612,442,327,259,1,4,4
2,1,4443,1651,4464,4032,1153,2579,622,231,625,564,161,361,3,4,3
3,0,4783,5387,2932,3711,4669,532,670,754,410,520,654,74,4,4,2
3,1,1746,4289,741,3053,3557,3545,244,600,104,427,498,496,4,1,1
1,0,2037,1178,3616,993,3199,2932,285,165,506,139,448,410,4,4,2
1,0,4394,4186,4959,3989,1690,2362,615,586,694,558,237,331,1,4,3
1,0,2776,2774,4332,1540,2692,4549,389,388,606,216,377,637,0,4,3
2,1,1869,3585,1822,1544,4505,4470,262,502,255,216,631,626,2,1,3
2,1,3634,2141,4017,1460,4993,5361,509,300,562,204,699,751,4,0,0
2,0,4627,4968,4054,1517,4582,4023,648,696,568,212,641,563,3,4,0
3,0,5483,4369,4952,1786,3109,3437,768,612,693,250,435,481,1,0,0
0,1,4582,4603,4973,4960,1841,3040,641,644,696,694,258,426,3,1,1
2,1,5332,631,2773,2533,907,3869,746,88,388,355,127,542,0,0,4
2,0,3292,4148,3171,4532,3720,5346,461,581,444,634,521,748,0,0,1
1,1,1633,920,720,763,694,5478,229,129,101,107,97,767,2,2,4
0,0,4463,3115,4323,3521,1017,2775,625,436,605,493,142,389,0,4,0
2,1,4043,2404,1773,5382,682,3774,566,337,248,753,95,528,0,3,1
1,0,3247,1570,5487,2696,4483,2373,455,220,768,377,628,332,3,4,3
3,1,1113,1687,5052,3438,3370,840,156,236,707,481,472,118,4,3,0
2,0,537,3608,682,2170,560,1919,75,505,95,304,78,269,1,1,0
2,1,3660,4727,3429,3888,4387,2349,512,662,480,544,614,329,2,2,2
2,0,5427,3926,3352,4924,2195,2138,760,550,469,689,307,299,3,3,1
0,0,2737,3330,2787,2946,3253,5313,383,466,390,412,455,744,1,1,1
1,1,1632,1497,5323,1993,3494,681,228,210,745,279,489,95,4,4,4
3,1,1876,1675,5016,2729,2666,3257,263,235,702,382,373,456,0,0,2
3,1,5309,4624,4660,5322,4723,2733,743,647,652,745,661,383,1,0,4
0,1,2736,1201,1661,1791,3181,1011,383,168,233,251,445,142,4,1,1
3,1,5497,2875,1235,621,5482,2370,770,403,173,87,767,332,2,1,1
3,1,3613,1921,5296,2827,2255,1813,506,269,741,396,316,254,1,2,2
0,0,3637,2968,3582,4693,790,3677,509,416,501,657,111,515,3,3,2
1,1,5473,2095,5466,5403,1092,4001,766,293,765,756,153,560,4,2,4
3,1,2960,5015,2776,771,3513,3118,414,702,389,108,492,437,0,1,1
3,1,2854,1288,3081,1802,2925,3339,400,180,431,252,410,467,4,3,1
2,0,5186,2598,3347,1706,2652,4370,726,364,469,239,371,612,3,3,2
2,1,3566,2165,2674,511,4966,2784,499,303,374,72,695,390,4,1,4
2,1,3451,813,4867,3277,5258,1206,483,114,681,459,736,169,1,4,3
2,1,2032,1536,3642,5208,2080,4567,284,215,510,729,291,639,3,1,4
1,1,4534,4338,1144,4257,1389,1656,635,607,160,596,194,232,1,0,2
3,0,2387,2813,939,4950,2575,1038,334,394,131,693,361,145,0,1,3
0,0,566,4073,2513,2430,4217,5466,79,570,352,340,590,765,4,1,4
3,0,3563,2922,4879,4910,508,1527,499,409,683,687,71,214,3,1,2
3,0,2155,1027,1355,998,3290,3476,302,144,190,140,461,487,0,3,2
3,1,4260,4243,3286,4022,1252,1394,596,594,460,563,175,195,0,4,2
3,0,1541,3654,3375,3147,2910,2355,216,512,473,441,407,330,4,1,3
2,1,3736,2493,3527,4436,2789,4913,523,349,494,621,390,688,4,0,4
1,0,4448,2504,870,4449,3058,2106,623,351,122,623,428,295,2,4,4
0,0,2820,3700,5292,3034,4555,2575,395,518,741,425,638,361,2,1,0
2,0,3724,884,5420,2562,1830,4645,521,124,759,359,256,650,1,1,4
3,1,4184,1193,1414,2295,952,1757,586,167,198,321,133,246,2,3,2
0,0,2445,2465,3794,974,867,1111,342,345,531,136,121,156,0,1,3
3,1,2808,3385,3173,733,4323,2632,393,474,444,103,605,368,4,1,4
0,1,5437,5056,2808,3780,917,5330,761,708,393,529,128,746,4,1,1
2,0,1533,1210,3385,5322,554,545,215,169,474,745,78,76,2,4,2
2,1,760,1974,3993,4602,565,1743,106,276,559,644,79,244,2,2,1
0,0,5166,4888,3947,763,3308,5341,723,684,553,107,463,748,0,0,0
0,0,566,3729,1032,2776,5142,4497,79,522,144,389,720,630,4,0,2
2,1,5379,4433,3852,1751,3941,1484,753,621,539,245,552,208,1,1,3
2,0,3988,1102,5369,3591,684,1024,558,154,752,503,96,143,2,2,3
2,0,4742,1354,5083,2484,2427,2086,664,190,712,348,340,292,3,4,0
3,0,5001,2275,5442,3974,588,2869,700,319,762,556,82,402,1,4,0
3,1,3613,983,1396,3326,2116,3878,506,138,195,466,296,543,2,4,2
0,1,649,4372,1326,2309,2247,5049,91,612,186,323,315,707,0,0,0
3,1,2034,3230,4457,3417,5486,5301,285,452,624,478,768,742,1,0,1
0,0,3593,2268,4145,3221,3254,4180,503,318,580,451,456,585,4,1,3
2,0,1712,3617,4426,3786,4426,1092,240,506,620,530,620,153,3,2,2
1,1,4281,3658,5481,3098,832,4348,599,512,767,434,116,609,2,2,0
0,0,2203,2948,4838,973,700,2125,308,413,677,136,98,298,1,4,2
3,1,938,1785,5039,5153,3407,5290,131,250,705,721,477,741,1,3,1
2,1,5201,4195,3092,3670,3054,579,728,587,433,514,428,81,0,1,1
1,1,3309,723,4272,3579,4580,3974,463,101,598,501,641,556,2,0,4
1,1,1750,4184,3638,782,3648,4014,245,586,509,109,511,562,0,3,1
1,1,653,674,5380,1649,1654,2903,91,94,753,231,232,406,1,4,3
2,1,4138,4168,2330,5177,5086,2893,579,584,326,725,712,405,4,0,0
1,1,507,5093,966,2818,856,5451,71,713,135,395,120,763,2,2,4
2,1,5194,1820,5160,4279,1524,4357,727,255,722,599,213,610,2,1,3
2,0,5142,564,2708,2571,5280,2313,720,79,379,360,739,324,3,3,3
2,0,587,1774,599,2073,4746,3505,82,248,84,290,664,491,4,3,4
3,1,4618,1452,4041,4681,589,3053,647,203,566,655,82,427,1,3,0
0,0,771,2167,3750,4802,730,4760,108,303,525,672,102,666,0,0,3
0,0,4190,726,4576,3664,4655,5087,587,102,641,513,652,712,0,2,1
2,1,4510,1169,1522,3896,2183,4051,631,164,213,545,306,567,4,3,1
1,0,636,4407,3968,799,4785,3907,89,617,556,112,670,547,3,0,4
3,0,4771,4650,1804,3035,4139,1328,668,651,253,425,579,186,2,1,2
3,0,3162,1811,3930,1203,708,1640,443,254,550,168,99,230,4,3,2
2,0,3954,4352,1383,1821,2408,4855,554,609,194,255,337,680,1,2,0
1,1,5036,3964,837,2749,4495,926,705,555,117,385,629,130,0,4,3
1,0,2056,3133,2538,4625,1476,2732,288,439,355,648,207,382,1,0,4
3,1,4156,1751,3127,3829,1891,3325,582,245,438,536,265,466,1,3,1
1,1,2874,3031,717,1642,1782,3447,402,424,100,230,249,483,0,2,4
1,1,5325,930,1791,3931,2483,3666,746,130,251,550,348,513,3,3,0
1,1,4072,1017,1106,5388,5324,1638,570,142,155,754,745,229,2,0,3
1,0,969,1636,2398,3541,4475,2810,136,229,336,496,627,393,1,1,4
1,0,672,2989,4754,4358,5032,4878,94,418,666,610,704,683,3,4,2
0,1,5081,1044,4493,4794,4353,4184,711,146,629,671,609,586,3,1,3
1,0,813,2309,914,2890,1954,532,114,323,128,405,274,74,0,0,0
0,0,2462,3283,3125,1860,5456,3811,345,460,438,260,764,534,1,0,0
1,0,3765,4270,1990,4357,597,1016,527,598,279,610,84,142,1,1,1
2,1,3119,3706,5167,5494,2948,5112,437,519,723,769,413,716,0,0,3
0,1,5235,4698,2673,4853,2009,648,733,658,374,679,281,91,2,3,1
0,1,3024,2032,4380,2403,4157,637,423,284,613,336,582,89,4,4,1
2,1,2251,3522,4751,2806,1652,2460,315,493,665,393,231,344,0,3,4
2,0,2967,2707,2468,1453,1548,2484,415,379,346,203,217,348,1,1,2
2,0,3570,1287,1937,4962,571,3320,500,180,271,695,80,465,2,0,3
2,1,3435,1111,3984,4290,4161,2202,481,156,558,601,583,308,0,1,0
3,1,1145,1973,3080,2085,3649,4052,160,276,431,292,511,567,1,4,0
2,1,5334,647,619,1867,1367,936,747,91,87,261,191,131,0,2,4
